vehicle_id,stop_time,dep_time,arr_time,drive_time,occupancy
150,600,136726,142369,5643,1
22,600,140450,142605,2155,0
23,600,142740,142740,0,0
160,600,141490,143047,1557,0
116,600,135023,143430,8407,1
119,600,140282,143889,3607,1
29,600,142600,143892,1292,1
86,600,135070,144038,8968,1
54,600,141650,144311,2661,1
14,600,141370,144440,3070,0
141,600,144440,144440,0,0
126,600,144690,144690,0,0
29,600,144720,144720,0,0
73,600,138004,145165,7161,2
134,600,141070,145362,4292,1
44,600,139593,145878,6285,1
138,600,142689,146108,3419,1
142,600,145340,146146,806,0
116,66,143496,146386,2890,1
45,600,132210,147157,14947,1
176,600,141505,147235,5730,1
86,600,147540,147540,0,0
150,600,147770,147770,0,0
143,600,144700,148155,3455,0
125,600,142445,148308,5863,1
186,600,145460,148313,2853,0
39,600,139380,148484,9104,1
159,600,142050,148551,6501,0
51,600,137817,148825,11008,1
182,600,148350,149484,1134,0
168,600,149490,149490,0,0
73,600,145765,149526,3761,1
142,600,146746,149796,3050,1
70,600,149020,150150,1130,0
124,600,147060,150161,3101,0
160,600,143647,150204,6557,1
103,600,147430,150283,2853,0
116,600,146986,150316,3330,2
22,600,143205,150445,7240,1
122,600,137692,150588,12896,1
187,600,150660,150660,0,0
113,600,149250,151956,2706,0
107,600,138545,152083,13538,1
141,600,145040,152219,7179,1
1,600,148520,152273,3753,0
112,600,150350,152312,1962,0
22,600,152420,152420,0,0
197,600,152550,152550,0,0
159,600,149151,153096,3945,1
193,600,153370,153370,0,0
54,600,147910,153593,5683,0
7,600,148620,153713,5093,0
23,600,143340,153872,10532,1
73,600,152180,154056,1876,0
14,600,145040,154123,9083,1
70,600,150750,154225,3475,1
45,600,147757,154270,6513,1
39,600,150070,154453,4383,0
150,600,148370,154489,6119,1
63,600,150670,154945,4275,0
168,600,150090,154978,4888,1
182,600,150084,155236,5152,1
186,600,148913,155413,6500,1
116,600,150916,155563,4647,1
166,600,151280,155750,4470,0
22,600,153020,155860,2840,1
1,600,152873,155948,3075,1
176,600,155740,156270,530,0
160,600,150804,156552,5748,1
52,600,154150,156611,2461,0
192,600,152680,156615,3935,0
103,600,150883,156682,5799,1
169,600,154440,156705,2265,0
161,600,140180,156750,16570,1
126,600,145290,156862,11572,1
125,600,156870,156870,0,0
50,600,142677,157006,14329,1
124,600,150761,157036,6275,1
159,600,154100,157216,3116,0
187,600,151260,157224,5964,1
86,600,148140,157308,9168,1
109,600,151620,157349,5729,0
92,600,153470,157544,4074,0
119,600,156840,157603,763,0
79,600,153550,157687,4137,0
113,600,152556,157848,5292,1
135,600,154130,157872,3742,0
122,600,158180,158180,0,0
7,600,154313,158236,3923,1
153,600,156560,158456,1896,0
168,600,155578,158572,2994,0
6,600,153900,158665,4765,0
109,600,157949,159350,1401,1
54,600,154193,159433,5240,1
39,600,155053,159474,4421,1
193,600,153970,159713,5743,1
141,600,159800,159800,0,0
169,600,157305,159823,2518,1
63,600,155545,160389,4844,1
92,600,158144,160533,2389,1
148,600,158860,160673,1813,0
73,600,154656,160858,6202,1
19,600,156620,160977,4357,0
182,600,156820,161301,4481,0
159,600,157816,161545,3729,1
116,600,161790,161790,0,0
29,600,145320,162256,16936,1
119,600,158203,162326,4123,1
168,600,159172,162495,3323,1
143,600,148755,162543,13788,1
186,600,156013,162566,6553,1
109,600,159950,162877,2927,0
188,600,158110,163008,4898,0
77,600,163090,163090,0,0
47,600,159860,163145,3285,0
33,600,161480,163276,1796,0
125,600,157470,163814,6344,1
135,600,158472,164100,5628,1
152,600,159110,164201,5091,0
51,600,159480,164228,4748,0
73,600,161458,164298,2840,0
68,600,160460,164473,4013,0
148,600,161273,164609,3336,1
79,600,158287,164610,6323,1
87,600,159400,164904,5504,0
107,600,158090,164933,6843,0
133,600,164340,165220,880,0
63,600,160989,165265,4276,1
159,600,162145,165469,3324,0
176,600,156870,165545,8675,1
106,600,159910,165608,5698,0
126,600,161040,165611,4571,0
46,600,159970,165650,5680,0
166,600,156350,165668,9318,1
39,600,162910,165730,2820,0
112,600,152912,166124,13212,1
9,600,164060,166384,2324,0
176,600,166770,166770,0,0
52,600,157211,166979,9768,1
29,600,167130,167130,0,0
1,600,167280,167280,0,0
45,600,162560,167413,4853,0
47,600,163745,167530,3785,1
138,600,167590,167590,0,0
182,600,161901,167785,5884,1
92,600,167880,167880,0,0
87,600,165504,168218,2714,1
160,600,165470,168286,2816,0
63,600,165890,169187,3297,0
6,600,159265,169449,10184,1
54,600,169830,169830,0,0
19,600,161577,169941,8364,1
152,600,164801,170003,5202,1
9,600,166984,170119,3135,1
51,600,164828,170163,5335,1
39,600,166330,170173,3843,1
125,600,165510,170568,5058,0
92,600,168480,170770,2290,1
77,600,163690,170783,7093,1
1,600,167880,170888,3008,1
107,600,165533,171165,5632,1
138,600,168190,171280,3090,1
153,600,159056,171361,12305,1
77,600,171580,171580,0,0
9,600,171600,171600,0,0
89,600,167700,171685,3985,0
73,600,164898,171868,6970,1
168,600,172020,172020,0,0
40,600,167870,172113,4243,0
58,600,171820,172124,304,0
122,600,158780,172219,13439,1
134,600,170680,172297,1617,0
133,600,165820,172517,6697,1
36,600,167730,172534,4804,0
192,600,157215,172664,15449,1
160,600,168886,172705,3819,1
112,600,170330,172723,2393,0
96,600,166730,172924,6194,0
37,600,167060,173038,5978,0
90,600,167660,173269,5609,0
19,600,173560,173560,0,0
68,600,165073,173572,8499,1
159,600,166069,173834,7765,1
197,600,153150,173980,20830,1
103,600,174400,174400,0,0
33,600,163876,174435,10559,1
94,600,171170,174447,3277,0
46,600,166250,174642,8392,1
125,600,171168,174719,3551,1
70,600,173370,174814,1444,0
98,600,174820,174820,0,0
188,600,163608,174877,11269,1
52,600,174260,174968,708,0
189,600,173200,175177,1977,0
9,600,172200,175198,2998,1
126,600,166211,175321,9110,1
190,600,170960,175560,4600,0
69,600,172300,175609,3309,0
124,600,170660,175662,5002,0
47,600,172070,175712,3642,0
116,600,162390,175862,13472,1
168,600,172620,175967,3347,1
45,600,168013,176029,8016,1
101,600,173540,176196,2656,0
63,600,169787,176223,6436,1
50,600,173510,177159,3649,0
54,600,170430,177283,6853,1
161,600,177490,177490,0,0
148,600,173130,177526,4396,0
42,600,174450,177562,3112,0
28,600,175080,177673,2593,0
193,600,175330,177861,2531,0
46,600,177870,177870,0,0
58,600,172724,177979,5255,1
141,600,160400,178061,17661,1
36,600,173134,178130,4996,1
33,600,175400,178130,2730,0
176,600,167370,178360,10990,1
19,600,174160,178712,4552,1
52,600,175568,178987,3419,1
68,600,179070,179070,0,0
109,600,163477,179090,15613,1
77,600,172180,179173,6993,1
71,600,177910,179472,1562,0
90,600,173869,179517,5648,1
101,600,176796,179548,2752,1
112,600,173323,179905,6582,1
87,600,176650,179919,3269,0
132,600,177650,180008,2358,0
79,600,176710,180166,3456,0
68,600,179670,180217,547,1
96,600,173524,180324,6800,1
101,600,180360,180360,0,0
26,600,178240,180399,2159,0
190,600,176160,180447,4287,1
186,600,180090,180465,375,0
29,600,167730,180861,13131,1
39,600,180920,180920,0,0
189,600,175777,180993,5216,1
166,600,181110,181110,0,0
98,600,175420,181391,5971,1
160,600,179270,181419,2149,0
112,600,181440,181440,0,0
106,600,166208,181797,15589,1
53,600,179460,181867,2407,0
192,600,177870,181998,4128,0
69,600,176209,182316,6107,1
33,600,178730,182319,3589,1
193,600,178461,182384,3923,1
37,600,173638,182480,8842,1
119,600,182580,182580,0,0
46,600,178470,182597,4127,1
32,600,182770,182770,0,0
96,600,180924,183069,2145,0
197,600,179910,183124,3214,0
124,600,176262,183141,6879,1
40,600,172713,183426,10713,1
125,600,178330,183546,5216,0
14,600,182420,183551,1131,0
92,600,180550,183560,3010,0
101,600,180960,183618,2658,1
89,600,172285,183619,11334,1
159,600,174434,183733,9299,1
70,600,175414,183779,8365,1
47,600,176312,184114,7802,1
42,600,178162,184159,5997,1
45,600,176629,184171,7542,1
106,600,184210,184210,0,0
9,600,182370,184425,2055,0
103,600,175000,184572,9572,1
193,600,184710,184710,0,0
190,600,184770,184770,0,0
52,600,182090,184848,2758,0
135,600,184890,184890,0,0
132,600,180608,184897,4289,1
148,600,178126,184974,6848,1
169,600,177560,185088,7528,0
39,600,181520,185226,3706,1
90,600,180117,185588,5471,1
134,600,172897,185911,13014,1
189,600,183020,186098,3078,0
50,1553,178712,186138,7426,2
73,600,183990,186424,2434,0
53,600,182467,186451,3984,1
41,600,183970,186570,2600,0
